id,id_entrepot,id_proprietaire,datetime,capteur1,capteur2,capteur3
HUM-ENT_DEMO-00001,ENT_DEMO,OWN_DEMO,2025-01-01 00:00:00,70.2,67.35,62.56
HUM-ENT_DEMO-00002,ENT_DEMO,OWN_DEMO,2025-01-01 01:00:00,69.03,65.36,62.27
HUM-ENT_DEMO-00003,ENT_DEMO,OWN_DEMO,2025-01-01 02:00:00,65.08,71.6,58.85
HUM-ENT_DEMO-00004,ENT_DEMO,OWN_DEMO,2025-01-01 03:00:00,65.14,61.97,64.7
HUM-ENT_DEMO-00005,ENT_DEMO,OWN_DEMO,2025-01-01 04:00:00,67.58,57.25,63.99
HUM-ENT_DEMO-00006,ENT_DEMO,OWN_DEMO,2025-01-01 05:00:00,64.33,63.78,64.99
HUM-ENT_DEMO-00007,ENT_DEMO,OWN_DEMO,2025-01-01 06:00:00,74.2,58.47,62.01
HUM-ENT_DEMO-00008,ENT_DEMO,OWN_DEMO,2025-01-01 07:00:00,66.39,64.92,64.76
HUM-ENT_DEMO-00009,ENT_DEMO,OWN_DEMO,2025-01-01 08:00:00,65.11,71.83,63.32
HUM-ENT_DEMO-00010,ENT_DEMO,OWN_DEMO,2025-01-01 09:00:00,68.16,62.92,64.46
HUM-ENT_DEMO-00011,ENT_DEMO,OWN_DEMO,2025-01-01 10:00:00,73.79,63.95,65.96
HUM-ENT_DEMO-00012,ENT_DEMO,OWN_DEMO,2025-01-01 11:00:00,62.69,65.18,67.09
HUM-ENT_DEMO-00013,ENT_DEMO,OWN_DEMO,2025-01-01 12:00:00,63.31,73.73,63.28
HUM-ENT_DEMO-00014,ENT_DEMO,OWN_DEMO,2025-01-01 13:00:00,65.93,69.33,64.58
HUM-ENT_DEMO-00015,ENT_DEMO,OWN_DEMO,2025-01-01 14:00:00,61.61,64.19,63.15
HUM-ENT_DEMO-00016,ENT_DEMO,OWN_DEMO,2025-01-01 15:00:00,63.58,67.8,65.34
HUM-ENT_DEMO-00017,ENT_DEMO,OWN_DEMO,2025-01-01 16:00:00,62.27,59.29,61.37
HUM-ENT_DEMO-00018,ENT_DEMO,OWN_DEMO,2025-01-01 17:00:00,61.33,62.01,60.3
HUM-ENT_DEMO-00019,ENT_DEMO,OWN_DEMO,2025-01-01 18:00:00,62.26,71.21,64.48
HUM-ENT_DEMO-00020,ENT_DEMO,OWN_DEMO,2025-01-01 19:00:00,74.42,70.63,69.9
HUM-ENT_DEMO-00021,ENT_DEMO,OWN_DEMO,2025-01-01 20:00:00,57.21,71.21,66.07
HUM-ENT_DEMO-00022,ENT_DEMO,OWN_DEMO,2025-01-01 21:00:00,66.97,65.74,64.2
HUM-ENT_DEMO-00023,ENT_DEMO,OWN_DEMO,2025-01-01 22:00:00,69.78,64.32,65.09
HUM-ENT_DEMO-00024,ENT_DEMO,OWN_DEMO,2025-01-01 23:00:00,65.61,58.39,60.63
HUM-ENT_DEMO-00025,ENT_DEMO,OWN_DEMO,2025-01-02 00:00:00,54.46,72.04,62.9
HUM-ENT_DEMO-00026,ENT_DEMO,OWN_DEMO,2025-01-02 01:00:00,67.96,62.18,63.66
HUM-ENT_DEMO-00027,ENT_DEMO,OWN_DEMO,2025-01-02 02:00:00,68.7,65.28,66.49
HUM-ENT_DEMO-00028,ENT_DEMO,OWN_DEMO,2025-01-02 03:00:00,68.78,62.17,71.72
HUM-ENT_DEMO-00029,ENT_DEMO,OWN_DEMO,2025-01-02 04:00:00,69.55,62.13,68.35
HUM-ENT_DEMO-00030,ENT_DEMO,OWN_DEMO,2025-01-02 05:00:00,67.69,56.75,70.65
HUM-ENT_DEMO-00031,ENT_DEMO,OWN_DEMO,2025-01-02 06:00:00,65.85,59.54,67.19
HUM-ENT_DEMO-00032,ENT_DEMO,OWN_DEMO,2025-01-02 07:00:00,64.56,59.65,60.07
HUM-ENT_DEMO-00033,ENT_DEMO,OWN_DEMO,2025-01-02 08:00:00,68.52,70.91,63.49
HUM-ENT_DEMO-00034,ENT_DEMO,OWN_DEMO,2025-01-02 09:00:00,66.31,57.57,68.07
HUM-ENT_DEMO-00035,ENT_DEMO,OWN_DEMO,2025-01-02 10:00:00,63.37,67.99,62.02
HUM-ENT_DEMO-00036,ENT_DEMO,OWN_DEMO,2025-01-02 11:00:00,62.69,67.67,61.58
HUM-ENT_DEMO-00037,ENT_DEMO,OWN_DEMO,2025-01-02 12:00:00,60.06,61.69,65.57
HUM-ENT_DEMO-00038,ENT_DEMO,OWN_DEMO,2025-01-02 13:00:00,66.54,62.52,60.67
HUM-ENT_DEMO-00039,ENT_DEMO,OWN_DEMO,2025-01-02 14:00:00,66.65,70.49,66.58
HUM-ENT_DEMO-00040,ENT_DEMO,OWN_DEMO,2025-01-02 15:00:00,64.5,61.33,62.84
HUM-ENT_DEMO-00041,ENT_DEMO,OWN_DEMO,2025-01-02 16:00:00,66.38,78.34,64.96
HUM-ENT_DEMO-00042,ENT_DEMO,OWN_DEMO,2025-01-02 17:00:00,64.94,59.82,67.31
HUM-ENT_DEMO-00043,ENT_DEMO,OWN_DEMO,2025-01-02 18:00:00,62.66,69.76,66.39
HUM-ENT_DEMO-00044,ENT_DEMO,OWN_DEMO,2025-01-02 19:00:00,66.49,65.97,67.87
HUM-ENT_DEMO-00045,ENT_DEMO,OWN_DEMO,2025-01-02 20:00:00,67.67,63.92,69.81
HUM-ENT_DEMO-00046,ENT_DEMO,OWN_DEMO,2025-01-02 21:00:00,61.74,66.06,68.02
HUM-ENT_DEMO-00047,ENT_DEMO,OWN_DEMO,2025-01-02 22:00:00,65.88,59.82,64.9
HUM-ENT_DEMO-00048,ENT_DEMO,OWN_DEMO,2025-01-02 23:00:00,61.72,68.1,68.3
HUM-ENT_DEMO-00049,ENT_DEMO,OWN_DEMO,2025-01-03 00:00:00,63.3,68.36,67.27
HUM-ENT_DEMO-00050,ENT_DEMO,OWN_DEMO,2025-01-03 01:00:00,69.56,66.12,54.3
HUM-ENT_DEMO-00051,ENT_DEMO,OWN_DEMO,2025-01-03 02:00:00,73.5,60.68,58.88
HUM-ENT_DEMO-00052,ENT_DEMO,OWN_DEMO,2025-01-03 03:00:00,66.89,58.48,64.94
HUM-ENT_DEMO-00053,ENT_DEMO,OWN_DEMO,2025-01-03 04:00:00,67.88,61.61,66.18
HUM-ENT_DEMO-00054,ENT_DEMO,OWN_DEMO,2025-01-03 05:00:00,67.09,75.4,71.02
HUM-ENT_DEMO-00055,ENT_DEMO,OWN_DEMO,2025-01-03 06:00:00,58.92,62.95,63.43
HUM-ENT_DEMO-00056,ENT_DEMO,OWN_DEMO,2025-01-03 07:00:00,67.54,63.17,60.41
HUM-ENT_DEMO-00057,ENT_DEMO,OWN_DEMO,2025-01-03 08:00:00,60.64,67.38,67.09
HUM-ENT_DEMO-00058,ENT_DEMO,OWN_DEMO,2025-01-03 09:00:00,65.97,63.65,66.03
HUM-ENT_DEMO-00059,ENT_DEMO,OWN_DEMO,2025-01-03 10:00:00,67.11,67.89,68.52
HUM-ENT_DEMO-00060,ENT_DEMO,OWN_DEMO,2025-01-03 11:00:00,65.14,62.08,57.2
HUM-ENT_DEMO-00061,ENT_DEMO,OWN_DEMO,2025-01-03 12:00:00,65.18,69.73,66.28
HUM-ENT_DEMO-00062,ENT_DEMO,OWN_DEMO,2025-01-03 13:00:00,66.62,71.05,65.61
HUM-ENT_DEMO-00063,ENT_DEMO,OWN_DEMO,2025-01-03 14:00:00,67.08,75.44,63.36
HUM-ENT_DEMO-00064,ENT_DEMO,OWN_DEMO,2025-01-03 15:00:00,62.83,61.65,60.44
HUM-ENT_DEMO-00065,ENT_DEMO,OWN_DEMO,2025-01-03 16:00:00,63.29,67.77,63.01
HUM-ENT_DEMO-00066,ENT_DEMO,OWN_DEMO,2025-01-03 17:00:00,64.79,70.01,60.97
HUM-ENT_DEMO-00067,ENT_DEMO,OWN_DEMO,2025-01-03 18:00:00,63.74,65.66,67.13
HUM-ENT_DEMO-00068,ENT_DEMO,OWN_DEMO,2025-01-03 19:00:00,65.51,62.47,67.06
HUM-ENT_DEMO-00069,ENT_DEMO,OWN_DEMO,2025-01-03 20:00:00,59.35,69.63,61.98
