id,id_entrepot,datetime,capteur1,capteur2,capteur3
TMP-ENT_DEMO-00001,ENT_DEMO,2025-01-01 00:00:00,10.96,11.48,9.28
TMP-ENT_DEMO-00002,ENT_DEMO,2025-01-01 01:00:00,10.36,10.42,10.08
TMP-ENT_DEMO-00003,ENT_DEMO,2025-01-01 02:00:00,9.45,11.76,10.75
TMP-ENT_DEMO-00004,ENT_DEMO,2025-01-01 03:00:00,8.38,7.52,9.24
TMP-ENT_DEMO-00005,ENT_DEMO,2025-01-01 04:00:00,10.76,10.75,8.81
TMP-ENT_DEMO-00006,ENT_DEMO,2025-01-01 05:00:00,8.81,11.29,8.64
TMP-ENT_DEMO-00007,ENT_DEMO,2025-01-01 06:00:00,10.82,6.78,9.81
TMP-ENT_DEMO-00008,ENT_DEMO,2025-01-01 07:00:00,11.79,10.51,9.02
TMP-ENT_DEMO-00009,ENT_DEMO,2025-01-01 08:00:00,10.33,10.02,10.36
TMP-ENT_DEMO-00010,ENT_DEMO,2025-01-01 09:00:00,9.27,10.06,9.49
TMP-ENT_DEMO-00011,ENT_DEMO,2025-01-01 10:00:00,9.96,8.37,10.09
TMP-ENT_DEMO-00012,ENT_DEMO,2025-01-01 11:00:00,8.63,10.15,12.19
TMP-ENT_DEMO-00013,ENT_DEMO,2025-01-01 12:00:00,9.06,7.92,12.62
TMP-ENT_DEMO-00014,ENT_DEMO,2025-01-01 13:00:00,10.23,10.75,10.04
TMP-ENT_DEMO-00015,ENT_DEMO,2025-01-01 14:00:00,9.39,7.77,10.09
TMP-ENT_DEMO-00016,ENT_DEMO,2025-01-01 15:00:00,11.6,11.0,10.68
TMP-ENT_DEMO-00017,ENT_DEMO,2025-01-01 16:00:00,8.75,12.11,7.8
TMP-ENT_DEMO-00018,ENT_DEMO,2025-01-01 17:00:00,11.44,10.06,11.96
TMP-ENT_DEMO-00019,ENT_DEMO,2025-01-01 18:00:00,10.46,10.93,8.36
TMP-ENT_DEMO-00020,ENT_DEMO,2025-01-01 19:00:00,8.85,9.2,8.88
TMP-ENT_DEMO-00021,ENT_DEMO,2025-01-01 20:00:00,10.71,10.57,11.11
TMP-ENT_DEMO-00022,ENT_DEMO,2025-01-01 21:00:00,8.67,9.92,10.69
TMP-ENT_DEMO-00023,ENT_DEMO,2025-01-01 22:00:00,11.9,12.88,9.94
TMP-ENT_DEMO-00024,ENT_DEMO,2025-01-01 23:00:00,9.59,11.24,10.86
TMP-ENT_DEMO-00025,ENT_DEMO,2025-01-02 00:00:00,11.48,9.2,10.21
TMP-ENT_DEMO-00026,ENT_DEMO,2025-01-02 01:00:00,11.49,11.56,11.56
TMP-ENT_DEMO-00027,ENT_DEMO,2025-01-02 02:00:00,12.18,12.25,8.93
TMP-ENT_DEMO-00028,ENT_DEMO,2025-01-02 03:00:00,8.76,11.71,11.39
TMP-ENT_DEMO-00029,ENT_DEMO,2025-01-02 04:00:00,9.45,12.0,11.47
TMP-ENT_DEMO-00030,ENT_DEMO,2025-01-02 05:00:00,9.34,10.37,9.14
TMP-ENT_DEMO-00031,ENT_DEMO,2025-01-02 06:00:00,11.85,10.71,10.95
TMP-ENT_DEMO-00032,ENT_DEMO,2025-01-02 07:00:00,7.36,12.71,11.92
TMP-ENT_DEMO-00033,ENT_DEMO,2025-01-02 08:00:00,9.25,12.41,10.31
TMP-ENT_DEMO-00034,ENT_DEMO,2025-01-02 09:00:00,10.64,10.74,9.58
TMP-ENT_DEMO-00035,ENT_DEMO,2025-01-02 10:00:00,12.04,9.04,10.78
TMP-ENT_DEMO-00036,ENT_DEMO,2025-01-02 11:00:00,7.57,9.98,9.06
TMP-ENT_DEMO-00037,ENT_DEMO,2025-01-02 12:00:00,9.32,11.16,8.28
TMP-ENT_DEMO-00038,ENT_DEMO,2025-01-02 13:00:00,10.02,7.65,9.04
TMP-ENT_DEMO-00039,ENT_DEMO,2025-01-02 14:00:00,10.27,8.4,11.03
TMP-ENT_DEMO-00040,ENT_DEMO,2025-01-02 15:00:00,8.96,8.79,8.18
TMP-ENT_DEMO-00041,ENT_DEMO,2025-01-02 16:00:00,9.78,12.6,9.4
TMP-ENT_DEMO-00042,ENT_DEMO,2025-01-02 17:00:00,12.75,9.26,10.43
